date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:19	406000/406000	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Sep%202020%2016:46:20%20GMT	https://johnnashola.wixsite.com/website-1	C:/My%20Web%20Sites/ll/johnnashola.wixsite.com/website-1.html	(from )
18:46:20	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://johnnashola.wixsite.com/robots.txt		(from )
18:46:20	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/ll/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://johnnashola.wixsite.com/website-1)
18:46:20	1171/1171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/ll/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://johnnashola.wixsite.com/website-1)
18:46:22	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2009%20Jun%202020%2020:48:10%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/ll/polyfill.io/v3/polyfill.mind82c.js	(from https://johnnashola.wixsite.com/website-1)
18:46:22	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Sep%202020%2016:46:24%20GMT	https://johnnashola.wixsite.com/website-1/decodeURIComponent(e	C:/My%20Web%20Sites/ll/johnnashola.wixsite.com/website-1/decodeURIComponent(e	(from https://johnnashola.wixsite.com/website-1)
18:46:23	416568/416568	---M--	200	added ('OK')	image/png	etag:%2267f18ef1cef3afdd68201d0f44f5a2b2-1%22	https://static.parastorage.com//services/santa-resources/resources/viewer/editorUI/fonts.v10.png	C:/My%20Web%20Sites/ll/static.parastorage.com/services/santa-resources/resources/viewer/editorUI/fonts.v10.png	(from https://johnnashola.wixsite.com/website-1)
18:46:23	16594/16594	---MCZ	200	added ('OK')	application/json	date:Thu,%2010%20Sep%202020%2016:46:25%20GMT	https://johnnashola.wixsite.com/website-1/_api/v2/dynamicmodel	C:/My%20Web%20Sites/ll/johnnashola.wixsite.com/website-1/_api/v2/dynamicmodel.json	(from https://johnnashola.wixsite.com/website-1)
18:46:24	557141/557141	---MCZ	200	added ('OK')	application/javascript	etag:W/%2239a311ed6de2c495fb1ee0ffda96a0c5%22	https://static.parastorage.com/services/wixstores-client-gallery/1.1379.0/gallery.bundle.min.js	C:/My%20Web%20Sites/ll/static.parastorage.com/services/wixstores-client-gallery/1.1379.0/gallery.bundle.min.js	(from https://johnnashola.wixsite.com/website-1)
18:46:24	99938/99938	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ac4e4cbda1f88aeb511bee7f4918e976%22	https://static.parastorage.com/services/wixstores-client-gallery/1.1379.0/galleryController.bundle.min.js	C:/My%20Web%20Sites/ll/static.parastorage.com/services/wixstores-client-gallery/1.1379.0/galleryController.bundle.min.js	(from https://johnnashola.wixsite.com/website-1)
